VPosLine:-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
iniciando carro autorizado!:
VPosLine:-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;0;0;0;0;0
AngLine:38;37;37;37;38;38;38;38;38;38;38
VPosLine:-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;0;0;0;0;0
AngLine:38;37;37;37;38;38;38;38;38;38;38
VPosLine:-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;0;0;0;0;0
AngLine:38;38;38;38;38;38;38;38;38;38;38
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;0;0;0;0;0
AngLine:38;37;37;37;38;38;38;38;38;38;38
VPosLine:-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;0;0;0;0;0
AngLine:38;38;38;38;38;38;38;38;38;38;38
VPosLine:-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;0;0;0;0;0
AngLine:38;38;38;38;38;38;38;38;38;38;38
VPosLine:-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;0;0;0;0;0
AngLine:38;38;38;38;38;38;38;38;38;38;38
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
Exception initCar: [Errno 113] No route to host
inicio de do loop
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;-0.42814285714285716;0;0;0;0;0
AngLine:38;37;37;37;38;38;38;38;38;38;38
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;-0.4175714285714286;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
AngLine:37;37;37;37;37;37;37;37;37;37;37
VPosLine:-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;-0.4228571428571429;0;0;0;0;0
